Ticker,Price,Date,Div Yield,EPS,Total Assets,"Goodwill, Net","Intangibles, Net",Liabilities (Total),Shares (Total Common Outstanding),Book Value,P:Book,Tangable Book Value,P:Tangbook,Dividend Percent,20x EPS,15X EPS,Price/Earnings,Interest
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Investment Goals:
1. Preservation of Capital
2. Effective Yearly Yield of 23.5% (doubling every 3 years)
3. Minimum Effective Yearly Yield of 7%",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,"Tenants of Investing:
1.  Must pay dividends                                                                | 2.  Must have long record of continuous dividend payments
3.  Must sell below intrinsic book value                                   | 4.  Never pay more than 20x Yearly EPS
5.  Allowed to sell if current price is over book value            | 6.  Focus on large promonant and conservatively financed comapnies
7.  Book value should be at least 1/2 CAP (1/3 for utilities) | 8.  You CANNOT do better than the dividend... unless you buy cheaper
9.  When selling, remember there is a tax hit                         | 10. Aim for 10-30 stocks in your portfolio",,,,,,,,,,,,,,,
